date,Open Interest,Dealer Longs,Dealer Shorts,Dealer Spreads,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2019-12-10,3232.0,131.0,0.0,0.0,56.0,285.0,1.0,1069.0,1766.0,109.0,310.0,396.0,12.0,1688.0,2569.0,1544.0,663.0
2019-12-17,3840.0,134.0,0.0,0.0,38.0,444.0,0.0,1578.0,2446.0,125.0,295.0,331.0,12.0,2182.0,3358.0,1658.0,482.0
2019-12-24,3541.0,137.0,0.0,0.0,133.0,283.0,1.0,1179.0,2256.0,100.0,276.0,514.0,25.0,1851.0,3179.0,1690.0,362.0
2019-12-31,3186.0,137.0,0.0,0.0,159.0,437.0,1.0,1037.0,1840.0,102.0,366.0,451.0,30.0,1832.0,2861.0,1354.0,325.0
2020-01-07,5400.0,66.0,42.0,0.0,338.0,331.0,0.0,2517.0,3661.0,238.0,464.0,786.0,20.0,3643.0,5078.0,1757.0,322.0
2020-01-14,5405.0,66.0,46.0,0.0,272.0,300.0,0.0,2688.0,3339.0,230.0,342.0,1043.0,33.0,3631.0,4991.0,1774.0,414.0
2020-01-21,5139.0,66.0,46.0,0.0,185.0,445.0,0.0,2304.0,3035.0,302.0,437.0,864.0,43.0,3337.0,4735.0,1802.0,404.0
2020-01-28,4917.0,66.0,46.0,0.0,391.0,438.0,0.0,1747.0,2907.0,253.0,419.0,765.0,74.0,2950.0,4483.0,1967.0,434.0
2020-02-04,4367.0,71.0,50.0,0.0,132.0,434.0,0.0,1436.0,3136.0,96.0,678.0,168.0,103.0,2516.0,3987.0,1851.0,380.0
2020-02-11,6106.0,76.0,50.0,0.0,367.0,148.0,0.0,2237.0,4553.0,244.0,924.0,533.0,146.0,3994.0,5674.0,2112.0,432.0
2020-02-18,6463.0,78.0,158.0,0.0,260.0,177.0,0.0,2452.0,5258.0,130.0,1576.0,181.0,145.0,4641.0,6049.0,1822.0,414.0
2020-02-25,5632.0,71.0,178.0,5.0,164.0,189.0,0.0,1774.0,4511.0,102.0,1741.0,38.0,182.0,4039.0,5205.0,1593.0,427.0
2020-03-03,4837.0,66.0,159.0,0.0,163.0,196.0,0.0,764.0,3454.0,208.0,1234.0,0.0,413.0,2848.0,4430.0,1989.0,407.0
2020-03-10,4368.0,65.0,41.0,0.0,115.0,362.0,0.0,1421.0,3002.0,181.0,783.0,25.0,313.0,2878.0,3924.0,1490.0,444.0
2020-03-17,4474.0,336.0,0.0,0.0,101.0,465.0,0.0,1869.0,2907.0,10.0,584.0,504.0,93.0,2993.0,3979.0,1481.0,495.0
2020-03-24,3909.0,36.0,0.0,0.0,125.0,297.0,0.0,1136.0,2291.0,76.0,969.0,550.0,64.0,2406.0,3278.0,1503.0,631.0
2020-03-31,3947.0,36.0,0.0,0.0,173.0,248.0,0.0,1489.0,2602.0,51.0,900.0,453.0,39.0,2688.0,3393.0,1259.0,554.0
2020-04-07,5448.0,36.0,0.0,0.0,221.0,204.0,0.0,2452.0,3652.0,272.0,671.0,934.0,31.0,3683.0,5093.0,1765.0,355.0
2020-04-14,5538.0,38.0,0.0,0.0,203.0,283.0,0.0,2260.0,3198.0,244.0,868.0,1394.0,22.0,3635.0,5141.0,1903.0,397.0
2020-04-21,5648.0,38.0,0.0,0.0,218.0,316.0,0.0,2394.0,3026.0,261.0,759.0,1600.0,5.0,3675.0,5208.0,1973.0,440.0
2020-04-28,6111.0,53.0,30.0,0.0,324.0,35.0,0.0,2024.0,3379.0,402.0,1233.0,1784.0,64.0,4100.0,5694.0,2011.0,417.0
2020-05-05,7784.0,48.0,160.0,0.0,316.0,0.0,1.0,3312.0,4269.0,557.0,1330.0,2302.0,149.0,5713.0,7438.0,2071.0,346.0
2020-05-12,9939.0,43.0,300.0,0.0,282.0,113.0,1.0,4923.0,6477.0,627.0,1389.0,2047.0,29.0,7294.0,9594.0,2645.0,345.0
2020-05-19,10878.0,41.0,342.0,0.0,342.0,193.0,10.0,5458.0,6815.0,593.0,1535.0,2576.0,3.0,7982.0,10532.0,2896.0,346.0
2020-05-26,8722.0,36.0,307.0,0.0,363.0,93.0,1.0,3880.0,4783.0,396.0,1755.0,2501.0,5.0,6436.0,8086.0,2286.0,636.0
2020-06-02,8824.0,36.0,394.0,80.0,423.0,214.0,0.0,3684.0,5752.0,139.0,1806.0,1706.0,59.0,6227.0,8344.0,2597.0,480.0
2020-06-09,9565.0,36.0,532.0,14.0,435.0,214.0,25.0,4203.0,6198.0,180.0,2175.0,1816.0,24.0,7092.0,9003.0,2473.0,562.0
2020-06-16,8784.0,31.0,495.0,0.0,406.0,294.0,15.0,3776.0,5710.0,176.0,2169.0,1447.0,18.0,6591.0,8155.0,2193.0,629.0
2020-06-23,9330.0,31.0,493.0,1.0,642.0,297.0,26.0,3847.0,6230.0,335.0,2120.0,1417.0,20.0,7022.0,8819.0,2308.0,511.0
2020-06-30,7675.0,0.0,493.0,0.0,362.0,80.0,30.0,3079.0,5332.0,74.0,2255.0,1017.0,1.0,5801.0,7027.0,1874.0,648.0
2020-07-07,8165.0,0.0,523.0,0.0,626.0,203.0,30.0,3262.0,5731.0,54.0,2132.0,1048.0,1.0,6105.0,7590.0,2060.0,575.0
2020-07-14,8322.0,0.0,533.0,0.0,444.0,255.0,30.0,3573.0,5460.0,71.0,2306.0,1385.0,2.0,6426.0,7736.0,1896.0,586.0
2020-07-21,9230.0,0.0,533.0,0.0,485.0,278.0,30.0,4122.0,6062.0,98.0,2217.0,1651.0,1.0,6953.0,8653.0,2277.0,577.0
2020-07-28,13068.0,0.0,580.0,2.0,646.0,684.0,20.0,5982.0,7942.0,174.0,2292.0,2847.0,267.0,9383.0,12516.0,3685.0,552.0
2020-08-04,12703.0,0.0,580.0,0.0,451.0,584.0,15.0,6312.0,7702.0,276.0,2131.0,3106.0,4.0,9189.0,12267.0,3514.0,436.0
2020-08-11,13090.0,0.0,580.0,0.0,206.0,495.0,156.0,6444.0,7785.0,373.0,1943.0,2677.0,540.0,9662.0,12606.0,3428.0,484.0
2020-08-18,14454.0,0.0,580.0,0.0,296.0,585.0,214.0,5760.0,8590.0,384.0,2776.0,2427.0,1139.0,10569.0,13919.0,3885.0,535.0
2020-08-25,11615.0,0.0,580.0,0.0,296.0,1.0,24.0,4839.0,6148.0,549.0,1957.0,2345.0,753.0,8418.0,10400.0,3197.0,1215.0
2020-09-01,10617.0,0.0,540.0,0.0,745.0,182.0,82.0,4271.0,6842.0,287.0,1947.0,1775.0,470.0,7802.0,10178.0,2815.0,439.0
2020-09-08,8198.0,0.0,229.0,0.0,256.0,35.0,108.0,2758.0,4661.0,401.0,1729.0,2028.0,222.0,5474.0,7684.0,2724.0,514.0
2020-09-15,9383.0,0.0,0.0,0.0,717.0,12.0,70.0,2819.0,5224.0,388.0,1653.0,2766.0,321.0,5968.0,8781.0,3415.0,602.0
2020-09-22,8426.0,0.0,0.0,0.0,285.0,12.0,45.0,2280.0,4480.0,874.0,1580.0,2062.0,356.0,5420.0,7829.0,3006.0,597.0
2020-09-29,7324.0,0.0,0.0,0.0,525.0,28.0,49.0,2004.0,4730.0,292.0,1590.0,1482.0,215.0,4675.0,6796.0,2649.0,528.0
2020-10-06,7511.0,0.0,0.0,0.0,703.0,64.0,49.0,2153.0,4854.0,159.0,1604.0,1747.0,147.0,4815.0,7020.0,2696.0,491.0
2020-10-13,9353.0,0.0,0.0,0.0,702.0,0.0,0.0,3487.0,6314.0,307.0,1713.0,2063.0,183.0,6392.0,8867.0,2961.0,486.0
2020-10-20,10896.0,0.0,0.0,0.0,874.0,0.0,0.0,4558.0,7741.0,304.0,1926.0,2320.0,162.0,7824.0,10527.0,3072.0,369.0
2020-10-27,12665.0,0.0,285.0,0.0,770.0,0.0,0.0,5462.0,9010.0,275.0,2579.0,2578.0,39.0,9125.0,12187.0,3540.0,478.0
